Model is RNN, dataset is subj, undersample is False, aug mode is None, geo is 0.5, small_label is 0 small_prop is 0.1, balance_seed is 3
Training epoch 0 | loss: 0.54198 - accuracy: 0.79333
Validating epoch 0 | loss: 0.42912 - accuracy: 0.879
Training epoch 1 | loss: 0.40101 - accuracy: 0.91044
Validating epoch 1 | loss: 0.41239 - accuracy: 0.899
Training epoch 2 | loss: 0.38074 - accuracy: 0.93122
Validating epoch 2 | loss: 0.43571 - accuracy: 0.874
Training epoch 3 | loss: 0.37201 - accuracy: 0.94089
Validating epoch 3 | loss: 0.42301 - accuracy: 0.887
Training epoch 4 | loss: 0.36745 - accuracy: 0.94578
Validating epoch 4 | loss: 0.42922 - accuracy: 0.88
Training epoch 5 | loss: 0.36704 - accuracy: 0.945
Validating epoch 5 | loss: 0.41715 - accuracy: 0.895
Training epoch 6 | loss: 0.35374 - accuracy: 0.95922
Validating epoch 6 | loss: 0.4376 - accuracy: 0.873
Training epoch 7 | loss: 0.35744 - accuracy: 0.95567
Validating epoch 7 | loss: 0.43481 - accuracy: 0.875
Training epoch 8 | loss: 0.35295 - accuracy: 0.96
Validating epoch 8 | loss: 0.43306 - accuracy: 0.877
Training epoch 9 | loss: 0.36696 - accuracy: 0.94622
Validating epoch 9 | loss: 0.42357 - accuracy: 0.886
Training epoch 10 | loss: 0.35005 - accuracy: 0.96311
Validating epoch 10 | loss: 0.41653 - accuracy: 0.895
Training epoch 11 | loss: 0.35677 - accuracy: 0.956
Validating epoch 11 | loss: 0.43989 - accuracy: 0.871
Training epoch 12 | loss: 0.37116 - accuracy: 0.94111
Validating epoch 12 | loss: 0.43581 - accuracy: 0.873
Training epoch 13 | loss: 0.3519 - accuracy: 0.96144
Validating epoch 13 | loss: 0.43286 - accuracy: 0.877
Training epoch 14 | loss: 0.3465 - accuracy: 0.96611
Validating epoch 14 | loss: 0.45391 - accuracy: 0.854
Training epoch 15 | loss: 0.34539 - accuracy: 0.96744
Validating epoch 15 | loss: 0.42986 - accuracy: 0.88
Training epoch 16 | loss: 0.34326 - accuracy: 0.96967
Validating epoch 16 | loss: 0.44762 - accuracy: 0.863
Training epoch 17 | loss: 0.34165 - accuracy: 0.97189
Validating epoch 17 | loss: 0.4676 - accuracy: 0.842
Training epoch 18 | loss: 0.34191 - accuracy: 0.97122
Validating epoch 18 | loss: 0.47158 - accuracy: 0.836
Training epoch 19 | loss: 0.34081 - accuracy: 0.97278
Validating epoch 19 | loss: 0.47666 - accuracy: 0.831
Training epoch 20 | loss: 0.34111 - accuracy: 0.972
Validating epoch 20 | loss: 0.51465 - accuracy: 0.793
Training epoch 21 | loss: 0.34657 - accuracy: 0.96667
Validating epoch 21 | loss: 0.45002 - accuracy: 0.861
Training epoch 22 | loss: 0.33955 - accuracy: 0.97367
Validating epoch 22 | loss: 0.44539 - accuracy: 0.863
Training epoch 23 | loss: 0.34347 - accuracy: 0.969
Validating epoch 23 | loss: 0.50912 - accuracy: 0.798
Training epoch 24 | loss: 0.34258 - accuracy: 0.97033
Validating epoch 24 | loss: 0.45235 - accuracy: 0.857
Training epoch 25 | loss: 0.33793 - accuracy: 0.97511
Validating epoch 25 | loss: 0.46814 - accuracy: 0.841
Training epoch 26 | loss: 0.33801 - accuracy: 0.97533
Validating epoch 26 | loss: 0.44455 - accuracy: 0.865
Training epoch 27 | loss: 0.34194 - accuracy: 0.971
Validating epoch 27 | loss: 0.46295 - accuracy: 0.845
