Model is RNN, dataset is subj, undersample is False, aug mode is None, geo is 0.5, pct_usage is 0.1, small_label is None, small_prop is None, balance_seed is 2, lr is 0.001, max_epochs is 100, split_num is 4
Training epoch 0 | loss: 0.69283 - accuracy: 0.5
Validating epoch 0 | loss: 0.68968 - accuracy: 0.5
Training epoch 1 | loss: 0.68809 - accuracy: 0.52
Validating epoch 1 | loss: 0.68164 - accuracy: 0.639
Training epoch 2 | loss: 0.67358 - accuracy: 0.67778
Validating epoch 2 | loss: 0.65363 - accuracy: 0.801
Training epoch 3 | loss: 0.62075 - accuracy: 0.81556
Validating epoch 3 | loss: 0.56147 - accuracy: 0.86
Training epoch 4 | loss: 0.51193 - accuracy: 0.87111
Validating epoch 4 | loss: 0.48312 - accuracy: 0.86
Training epoch 5 | loss: 0.46557 - accuracy: 0.87889
Validating epoch 5 | loss: 0.48565 - accuracy: 0.831
Training epoch 6 | loss: 0.44816 - accuracy: 0.88444
Validating epoch 6 | loss: 0.45076 - accuracy: 0.862
Training epoch 7 | loss: 0.44984 - accuracy: 0.87
Validating epoch 7 | loss: 0.49222 - accuracy: 0.813
Training epoch 8 | loss: 0.44122 - accuracy: 0.85111
Validating epoch 8 | loss: 0.45875 - accuracy: 0.854
Training epoch 9 | loss: 0.40902 - accuracy: 0.89444
Validating epoch 9 | loss: 0.42779 - accuracy: 0.886
Training epoch 10 | loss: 0.39731 - accuracy: 0.90667
Validating epoch 10 | loss: 0.43753 - accuracy: 0.875
Training epoch 11 | loss: 0.40311 - accuracy: 0.90889
Validating epoch 11 | loss: 0.47001 - accuracy: 0.847
Training epoch 12 | loss: 0.64151 - accuracy: 0.69
Validating epoch 12 | loss: 0.72349 - accuracy: 0.589
Training epoch 13 | loss: 0.54423 - accuracy: 0.73222
Validating epoch 13 | loss: 0.5201 - accuracy: 0.776
Training epoch 14 | loss: 0.45594 - accuracy: 0.82889
Validating epoch 14 | loss: 0.44128 - accuracy: 0.872
Training epoch 15 | loss: 0.41357 - accuracy: 0.89
Validating epoch 15 | loss: 0.43864 - accuracy: 0.872
Training epoch 16 | loss: 0.40499 - accuracy: 0.89667
Validating epoch 16 | loss: 0.43771 - accuracy: 0.871
Training epoch 17 | loss: 0.39227 - accuracy: 0.91333
Validating epoch 17 | loss: 0.43542 - accuracy: 0.878
Training epoch 18 | loss: 0.38824 - accuracy: 0.91556
Validating epoch 18 | loss: 0.43714 - accuracy: 0.873
Training epoch 19 | loss: 0.38039 - accuracy: 0.92667
